codigo_sku;nome_produto;marca;tamanho;peso_oz;categoria;alergenos;codigo_barras;data_lancamento
BR-00000;Luminos Tomato Ketchup;Luminos;200 mL;5.29;Alimentos > Condimentos;glúten;1819600133891;19/04/2018
BR-00001;Hevara Laundry Powder;Hevara;1000 mL;17.64;Casa > Lavanderia;soja,crustáceos,amendoim;0265423511612;10/01/2022
BR-00002;Verdant Whitening Deodorant;Verdant;50 mL;14.11;Cuidados Pessoais > Desodorante;ovos,peixe,glúten,amendoim;4959310341319;06/04/2022
BR-00003;Teraxis Intensive Moisturiser;Teraxis;250 mL;3.53;Cuidados Pessoais > Rosto > Hidratação;castanhas,soja;4192832764833;21/08/2021
BR-00004;Vanta Refreshing Shower Gel;Vanta;250 mL;10.58;Cuidados Pessoais > Banho;ovos,soja;9537672423888;12/12/2020
BR-00005;TEST-Sovara Oat Protein Bar;Sovara;750 mL;10.58;Alimentos > Petiscos;soja,trigo;8710122691667;02/04/2023
BR-00006;Luxara Fabric Softener;Luxara;50 mL;2.65;Casa > Lavanderia;amendoim,castanhas,ovos,trigo;6270482814899;25/03/2020
BR-00007;Krisol Repair Conditioner;Krisol;100 mL;17.64;Cuidados Pessoais > Cabelo > Condicionador;leite,castanhas,crustáceos,glúten;1543039117183;31/05/2019
BR-00008;Luxara Volumising Conditioner;Luxara;100 mL;7.05;Cuidados Pessoais > Cabelo > Condicionador;glúten,peixe,soja,amendoim;3465787133155;28/03/2018
BR-00009;Plexum Eco Dish Liquid;Plexum;750 mL;5.29;Casa > Limpeza > Louças;;1031051834732;26/06/2019
BR-00010;Clarity Oat Protein Bar;Clarity;400 mL;5.29;Alimentos > Petiscos;peixe,soja,ovos;1656670106512;15/10/2020
BR-00011;Novix Oil Control Face Wash;Novix;400 mL;3.53;Cuidados Pessoais > Rosto > Limpeza;trigo,amendoim,crustáceos;3178108013264;13/06/2023
BR-00012;Cladis Kitchen Cleaner;Cladis;50 mL;3.53;Casa > Limpeza > Superfícies;leite,peixe,amendoim;7468723430987;07/09/2018
BR-00013;Oralix Granola Bar;Oralix;50 mL;14.11;Alimentos > Petiscos;gergelim,trigo,leite,amendoim;1219136193992;12/06/2018
BR-00014;Purelix Dish Liquid;Purelix;1000 mL;17.64;Casa > Limpeza > Louças;amendoim,soja;5346247510793;14/02/2019
BR-00015;Aurova Colour Protect Shampoo;Aurova;500 mL;7.05;Cuidados Pessoais > Cabelo > Shampoo;castanhas;1354278498083;11/05/2021
BR-00016;Tresol Tomato Ketchup;Tresol;200 mL;2.65;Alimentos > Condimentos;;8244935348741;28/07/2018
BR-00017;Nuvelo Repair Shampoo;Nuvelo;50 mL;1.76;Cuidados Pessoais > Cabelo > Shampoo;trigo,amendoim;2786801128058;30/08/2019
BR-00018;Vanta Moisturising Hand Wash;Vanta;200 mL;8.82;Cuidados Pessoais > Sabonete Líquido;;5331586923229;16/08/2022
BR-00019;Tolvex Refreshing Shower Gel;Tolvex;250 mL;10.58;Cuidados Pessoais > Banho;amendoim;2160733754330;07/04/2018
BR-00020;Cladis Mayonnaise;Cladis;250 mL;7.05;Alimentos > Condimentos;;4586850142948;06/06/2018
BR-00021;Sovara Colour Protect Shampoo;Sovara;250 mL;8.82;Cuidados Pessoais > Cabelo > Shampoo;glúten,gergelim,ovos;6934060883560;14/10/2018
BR-00022;Lumeva Mustard Sauce;Lumeva;250 mL;2.65;Alimentos > Condimentos;gergelim,amendoim;6564823662998;17/05/2021
BR-00023;Zephyr Aloe Hand Wash;Zephyr;200 mL;7.05;Cuidados Pessoais > Sabonete Líquido;peixe;9957773872147;13/10/2023
BR-00024;Qualis Vinegar Dressing;Qualis;75 mL;5.29;Alimentos > Condimentos;soja,glúten;2003791769369;18/07/2023
BR-00025;Brightway Moisturising Hand Wash;Brightway;1000 mL;1.76;Cuidados Pessoais > Sabonete Líquido;;6328708317270;16/12/2023
BR-00026;TEST-Toreva Stain Remover;Toreva;400 mL;17.64;Casa > Lavanderia;gergelim,crustáceos,trigo;7743487347147;18/08/2020
BR-00027;Toreva SPF Moisturiser;Toreva;500 mL;2.65;Cuidados Pessoais > Rosto > Hidratação;trigo;3623166587603;27/04/2020
BR-00028;Arovia Foaming Hand Wash;Arovia;750 mL;1.76;Cuidados Pessoais > Sabonete Líquido;peixe,crustáceos,leite,trigo;4668893734677;29/04/2018
BR-00029;Polvera Fragrance-Free Hand Wash;Polvera;1000 mL;10.58;Cuidados Pessoais > Sabonete Líquido;crustáceos;2980699016279;15/01/2020
BR-00030;Motivo Nourishing Body Cleanser;Motivo;250 mL;5.29;Cuidados Pessoais > Banho;castanhas,glúten,peixe;4641708053101;08/05/2018
BR-00031;Luminos Oil Control Face Wash;Luminos;750 mL;3.53;Cuidados Pessoais > Rosto > Limpeza;trigo;7193745299129;28/06/2021
BR-00032;Luminos Colour Protect Shampoo;Luminos;200 mL;10.58;Cuidados Pessoais > Cabelo > Shampoo;soja,ovos,glúten;1491905865181;29/10/2021
BR-00033;Solaris Deep Clean Body Wash;Solaris;75 mL;10.58;Cuidados Pessoais > Banho;glúten,amendoim,peixe;6284987769455;02/10/2020
BR-00034;Orinum Anti-Dandruff Shampoo;Orinum;150 mL;14.11;Cuidados Pessoais > Cabelo > Shampoo;glúten,peixe,castanhas,leite;7527354549489;11/02/2018
BR-00035;Helix Laundry Powder;Helix;150 mL;10.58;Casa > Lavanderia;gergelim,soja,crustáceos;7701436349574;15/12/2023
BR-00036;Tolvex Sensitive Deodorant;Tolvex;500 mL;8.82;Cuidados Pessoais > Desodorante;crustáceos,amendoim;4431351823370;06/02/2021
BR-00037;Krisol Oat Protein Bar;Krisol;500 mL;7.05;Alimentos > Petiscos;;3435240824005;11/04/2021
BR-00038;Teraxis Mixed Nuts Blend;Teraxis;400 mL;2.65;Alimentos > Petiscos;;9477752047118;30/06/2022
00039;Clarity Multi-Surface Spray;Clarity;1000 mL;1.76;Casa > Limpeza > Superfícies;trigo;9413186999388;08/04/2022
BR-00040;DUMMY-Frostine Glass Cleaner;Frostine;750 mL;10.58;Casa > Limpeza > Superfícies;glúten,leite;9133412328125;11/01/2018
BR-00041;Nuarix Foaming Hand Wash;Nuarix;750 mL;14.11;Cuidados Pessoais > Sabonete Líquido;leite,soja;4471349361835;03/09/2019
BR-00042;Purevex Night Cream;Purevex;50 mL;3.53;Cuidados Pessoais > Rosto > Hidratação;glúten,amendoim;7174648877195;13/06/2018
BR-00043;Aevum Fragrance-Free Hand Wash;Aevum;200 mL;1.76;Cuidados Pessoais > Sabonete Líquido;;3990490278744;14/01/2020
BR-00044;Teraxis Heavy Duty Dish Soap;Teraxis;400 mL;2.65;Casa > Limpeza > Louças;castanhas,peixe,glúten;5125674680718;12/07/2021
BR-00045;Glova SPF Moisturiser;Glova;300 mL;17.64;Cuidados Pessoais > Rosto > Hidratação;trigo;8760385977039;29/12/2020
BR-00046;Elaris Laundry Powder;Elaris;400 mL;14.11;Casa > Lavanderia;;0932480861317;06/03/2023
BR-00047;Solaris Volumising Shampoo;Solaris;200 mL;17.64;Cuidados Pessoais > Cabelo > Shampoo;peixe,crustáceos;7378263982146;27/08/2022
BR-00048;Nuvelo Whitening Deodorant;Nuvelo;50 mL;7.05;Cuidados Pessoais > Desodorante;glúten,crustáceos;2787558867535;05/09/2020
BR-00049;Plexum Heavy Duty Dish Soap;Plexum;300 mL;1.76;Casa > Limpeza > Louças;crustáceos,peixe;6270289517184;15/02/2023
BR-00050;Purelix Refreshing Shower Gel;Purelix;1000 mL;3.53;Cuidados Pessoais > Banho;;7459615865789;28/05/2018
BR-00051;Cristalix Dish Liquid;Cristalix;1000 mL;7.05;Casa > Limpeza > Louças;ovos;6117240050451;16/03/2022
BR-00052;Cristalix Moisturising Hand Wash;Cristalix;500 mL;10.58;Cuidados Pessoais > Sabonete Líquido;trigo,glúten,gergelim,leite;9693792374742;08/02/2018
BR-00053;Solvix Bathroom Cleaner;Solvix;500 mL;3.53;Casa > Limpeza > Superfícies;;7594647436719;29/08/2020
BR-00054;Zenpur Aloe Hand Wash;Zenpur;750 mL;7.05;Cuidados Pessoais > Sabonete Líquido;leite,peixe;4090974395338;23/10/2020
BR-00055;Teraxis Mayonnaise;Teraxis;75 mL;1.76;Alimentos > Condimentos;crustáceos,leite;9521456232858;15/12/2023
BR-00056;Nexpur Fabric Softener;Nexpur;200 mL;14.11;Casa > Lavanderia;castanhas,ovos;7123685160487;22/05/2019
BR-00057;Solvix Bathroom Cleaner;Solvix;1000 mL;7.05;Casa > Limpeza > Superfícies;peixe,castanhas,ovos,gergelim;3709859317464;23/04/2019
BR-00058;Vanta Deep Conditioner;Vanta;200 mL;14.11;Cuidados Pessoais > Cabelo > Condicionador;;1382675869267;10/02/2019
BR-00059;Purelix Disinfectant Spray;Purelix;200 mL;1.76;Casa > Limpeza > Superfícies;soja,crustáceos;7351585064318;06/02/2023
BR-00060;Gleam Volumising Shampoo;Gleam;1000 mL;1.76;Cuidados Pessoais > Cabelo > Shampoo;;5329318393358;28/08/2019
BR-00061;Nuvelo Dish Liquid;Nuvelo;100 mL;3.53;Casa > Limpeza > Louças;amendoim,trigo,ovos,castanhas;0205395024024;21/09/2022
BR-00062;Tolvex Liquid Laundry Detergent;Tolvex;75 mL;14.11;Casa > Lavanderia;castanhas,gergelim,ovos;7839084700765;13/10/2022
BR-00063;Solaris Tomato Ketchup;Solaris;400 mL;2.65;Alimentos > Condimentos;;5921249985697;14/12/2023
BR-00064;Primus Intensive Moisturiser;Primus;750 mL;10.58;Cuidados Pessoais > Rosto > Hidratação;;1836736576613;04/07/2021
BR-00065;Polvera Fragrance-Free Hand Wash;Polvera;200 mL;8.82;Cuidados Pessoais > Sabonete Líquido;crustáceos;1111615280981;12/09/2021
BR-00066;Purelix Tomato Ketchup;Purelix;250 mL;10.58;Alimentos > Condimentos;;4945198327316;05/12/2021
BR-00067;Glova Fabric Softener;Glova;200 mL;5.29;Casa > Lavanderia;gergelim,glúten,leite;9402445502292;30/06/2022
BR-00068;Tolvex Volumising Shampoo;Tolvex;1000 mL;1.76;Cuidados Pessoais > Cabelo > Shampoo;;8366752545995;14/12/2018
BR-00069;Nexpur Refreshing Shower Gel;Nexpur;750 mL;1.76;Cuidados Pessoais > Banho;;4767976438157;27/10/2022
BR-00070;XXX-Solvix Anti-Dandruff Shampoo;Solvix;1000 mL;14.11;Cuidados Pessoais > Cabelo > Shampoo;amendoim,leite,soja,crustáceos;9003432445105;31/07/2023
BR-00071;Kaleo Rice Cakes;Kaleo;100 mL;10.58;Alimentos > Petiscos;soja,gergelim,castanhas,leite;6060715969669;31/03/2021
BR-00072;Luminos Repair Shampoo;Luminos;250 mL;3.53;Cuidados Pessoais > Cabelo > Shampoo;crustáceos,castanhas,ovos,soja;1369681645351;20/11/2019
BR-00073;Teraxis Colour Protect Shampoo;Teraxis;75 mL;17.64;Cuidados Pessoais > Cabelo > Shampoo;soja,castanhas,gergelim,crustáceos;2312432921272;16/03/2023
BR-00074;Orinum Eco Dish Liquid;Orinum;1000 mL;8.82;Casa > Limpeza > Louças;trigo,crustáceos;1774490581477;26/01/2023
BR-00075;Vivara Moisturising Body Wash;Vivara;200 mL;2.65;Cuidados Pessoais > Banho;;9986798079354;03/05/2023
BR-00076;Oralix Laundry Powder;Oralix;400 mL;2.65;Casa > Lavanderia;ovos,gergelim;2037788925544;06/05/2022
BR-00077;Solvix Fragrance-Free Hand Wash;Solvix;750 mL;1.76;Cuidados Pessoais > Sabonete Líquido;ovos,castanhas;1864492519254;24/06/2021
