SKU_CD,PROD_NM,BRND,SZ,WT_GMS,CAT_CD,ALLRGY,EAN,DT_LNCH
IN00000,Luminos Tomato Ketchup,Luminos,200ml,150,FB-CN,"tree nuts,shellfish",1819600133891,19/04/18
IN00001,Hevara Laundry Powder,Hevara,1000ml,500,HH-LN,"soy,shellfish,peanuts",0265423511612,10/01/22
IN00002,Verdant Whitening Deodorant,Verdant,50ml,400,PC-DO,"eggs,fish,gluten,peanuts",4959310341319,06/04/22
IN00003,Teraxis तेल Intensive Moisturiser,Teraxis,250ml,100,PC-MS,"tree nuts,soy",4192832764833,21/08/21
IN00004,Vanta Refreshing Shower Gel,Vanta,250ml,300,PC-BW,"eggs,soy",9537672423888,12/12/20
IN00005,DUMMY-Sovara Oat Protein Bar,Sovara,750ml,300,FB-SN,"soy,wheat",8710122691667,02/04/23
IN00006,Luxara Fabric Softener,Luxara,50ml,75,HH-LN,"peanuts,tree nuts,eggs,wheat",6270482814899,25/03/20
IN00007,Krisol Repair Conditioner,Krisol,100ml,500,PC-CD,"milk,tree nuts,shellfish,gluten",1543039117183,31/05/19
IN00008,Luxara Volumising Conditioner,Luxara,100ml,200,PC-CD,"gluten,fish,soy,peanuts",3465787133155,28/03/18
IN00009,Plexum Eco स्प्रे Dish Liquid,Plexum,750ml,150,HH-DW,,1031051834732,26/06/19
IN00010,Clarity लोशन Oat Protein Bar,Clarity,400ml,150,FB-SN,"fish,soy,eggs",1656670106512,15/10/20
IN00011,Novix Oil Control Face Wash,Novix,400ml,100,PC-FW,"wheat,peanuts,shellfish",3178108013264,13/06/23
IN00012,Cladis Kitchen Cleaner,Cladis,50ml,100,HH-SC,"milk,fish,peanuts",7468723430987,07/09/18
IN00013,Oralix Granola Bar,Oralix,50ml,400,FB-SN,"sesame,wheat,milk,peanuts",1219136193992,12/06/18
IN00014,Purelix Dish Liquid,Purelix,1000ml,500,HH-DW,"peanuts,soy",5346247510793,14/02/19
IN00015,Aurova Colour Protect Shampoo,Aurova,500ml,200,PC-SH,tree nuts,1354278498083,11/05/21
IN00016,Tresol Tomato Ketchup,Tresol,200ml,75,FB-CN,,8244935348741,28/07/18
