sku_id,product_name,brand,size_ml,weight_g,category,allergens,barcode,launch_date
UK-00000,Luminos Tomato Ketchup,Luminos,200,150,Food & Beverage > Condiments,wheat,1819600133891,2018-04-19
UK-00001,Hevara Laundry Powder,Hevara,1000,500,Household > Laundry,"soy,shellfish,peanuts",0265423511612,2022-01-10
UK-00002,Verdant Whitening Deodorant,Verdant,50,400,Personal Care > Deodorant,"eggs,fish,gluten,peanuts",4959310341319,2022-04-06
UK-00003,Teraxis Intensive Moisturiser,Teraxis,250,100,Personal Care > Moisturiser,"tree nuts,soy",4192832764833,2021-08-21
UK-00004,Vanta Refreshing Shower Gel,Vanta,250,300,Personal Care > Body Wash,"eggs,soy",9537672423888,2020-12-12
UK-00005,DUMMY-Sovara Oat Protein Bar,Sovara,750,300,Food & Beverage > Snacks,"soy,wheat",8710122691667,2023-04-02
UK-00006,Luxara Fabric Softener,Luxara,50,75,Household > Laundry,"peanuts,tree nuts,eggs,wheat",6270482814899,2020-03-25
UK-00007,Krisol Repair Conditioner,Krisol,100,500,Personal Care > Conditioner,"milk,tree nuts,shellfish,gluten",1543039117183,2019-05-31
UK-00008,Luxara Volumising Conditioner,Luxara,100,200,Personal Care > Conditioner,"gluten,fish,soy,peanuts",3465787133155,2018-03-28
UK-00009,Plexum Eco Dish Liquid,Plexum,750,150,Household > Dishwash,,1031051834732,2019-06-26
UK-00010,Clarity Oat Protein Bar,Clarity,400,150,Food & Beverage > Snacks,"fish,soy,eggs",1656670106512,2020-10-15
UK-00011,Novix Oil Control Face Wash,Novix,400,100,Personal Care > Face Wash,"wheat,peanuts,shellfish",3178108013264,2023-06-13
UK-00012,Cladis Kitchen Cleaner,Cladis,50,100,Household > Surface Cleaner,"milk,fish,peanuts",7468723430987,2018-09-07
UK-00013,Oralix Granola Bar,Oralix,50,400,Food & Beverage > Snacks,"sesame,wheat,milk,peanuts",1219136193992,2018-06-12
UK-00014,Purelix Dish Liquid,Purelix,1000,500,Household > Dishwash,"peanuts,soy",5346247510793,2019-02-14
UK-00015,Aurova Colour Protect Shampoo,Aurova,500,200,Personal Care > Shampoo,tree nuts,1354278498083,2021-05-11
UK-00016,Tresol Tomato Ketchup,Tresol,200,75,Food & Beverage > Condiments,,8244935348741,2018-07-28
UK-00017,Nuvelo Repair Shampoo,Nuvelo,50,50,Personal Care > Shampoo,"wheat,peanuts",2786801128058,2019-08-30
UK-00018,Vanta Moisturising Hand Wash,Vanta,200,250,Personal Care > Hand Wash,,5331586923229,2022-08-16
UK-00019,Tolvex Refreshing Shower Gel,Tolvex,250,300,Personal Care > Body Wash,peanuts,2160733754330,2018-04-07
UK-00020,Cladis Mayonnaise,Cladis,250,200,Food & Beverage > Condiments,,4586850142948,2018-06-06
UK-00021,Sovara Colour Protect Shampoo,Sovara,250,250,Personal Care > Shampoo,"gluten,sesame,eggs",6934060883560,2018-10-14
UK-00022,Lumeva Mustard Sauce,Lumeva,250,75,Food & Beverage > Condiments,"sesame,peanuts",6564823662998,2021-05-17
UK-00023,Zephyr Aloe Hand Wash,Zephyr,200,200,Personal Care > Hand Wash,fish,9957773872147,2023-10-13
UK-00024,Qualis Vinegar Dressing,Qualis,75,150,Food & Beverage > Condiments,"soy,gluten",2003791769369,2023-07-18
UK-00025,Brightway Moisturising Hand Wash,Brightway,1000,50,Personal Care > Hand Wash,,6328708317270,2023-12-16
UK-00026,XXX-Toreva Stain Remover,Toreva,400,500,Household > Laundry,"sesame,shellfish,wheat",7743487347147,2020-08-18
UK-00027,Toreva SPF Moisturiser,Toreva,500,75,Personal Care > Moisturiser,wheat,3623166587603,2020-04-27
UK-00028,Arovia Foaming Hand Wash,Arovia,750,50,Personal Care > Hand Wash,"fish,shellfish,milk,wheat",4668893734677,2018-04-29
UK-00029,Polvera Fragrance-Free Hand Wash,Polvera,1000,300,Personal Care > Hand Wash,shellfish,2980699016279,2020-01-15
UK-00030,Motivo Nourishing Body Cleanser,Motivo,250,150,Personal Care > Body Wash,"tree nuts,gluten,fish",4641708053101,2018-05-08
UK-00031,Luminos Oil Control Face Wash,Luminos,750,100,Personal Care > Face Wash,wheat,7193745299129,2021-06-28
UK-00032,Luminos Colour Protect Shampoo,Luminos,200,300,Personal Care > Shampoo,"soy,eggs,gluten",1491905865181,2021-10-29
UK-00033,Solaris Deep Clean Body Wash,Solaris,75,300,Personal Care > Body Wash,"shellfish,wheat",6284987769455,2020-10-02
UK-00034,Orinum Anti-Dandruff Shampoo,Orinum,150,400,Personal Care > Shampoo,"gluten,fish,tree nuts,milk",7527354549489,2018-02-11
UK-00035,Helix Laundry Powder,Helix,150,300,Household > Laundry,"sesame,soy,shellfish",7701436349574,2023-12-15
UK-00036,Tolvex Sensitive Deodorant,Tolvex,500,250,Personal Care > Deodorant,"shellfish,peanuts",4431351823370,2021-02-06
UK-00037,Krisol Oat Protein Bar,Krisol,500,200,Food & Beverage > Snacks,,3435240824005,2021-04-11
UK-00038,Teraxis Mixed Nuts Blend,Teraxis,400,75,Food & Beverage > Snacks,,9477752047118,2022-06-30
